,V1,UniqueID,Experiment,Year,Site,Treatment1_Density,Treatment2_Diversity,Color_Bucket,Number,Species,RFTM_score,peacrabs,Phase_1_DO,Phase_1_temp,Phase_2_DO,Phase_2_Temp,Overall_treatment
1,1,2017_NW_HIGH_MONO_B1_CV,Field17,2017,NW,HIGH,MONO,B,1,CV,1,0,,,,,
2,2,2017_NW_HIGH_MONO_B11_CV,Field17,2017,NW,HIGH,MONO,B,11,CV,2,0,,,,,
3,3,2017_NW_HIGH_MONO_B12_CV,Field17,2017,NW,HIGH,MONO,B,12,CV,0,0,,,,,
4,4,2017_NW_HIGH_MONO_B14_CV,Field17,2017,NW,HIGH,MONO,B,14,CV,1,0,,,,,
5,5,2017_NW_HIGH_MONO_B18_CV,Field17,2017,NW,HIGH,MONO,B,18,CV,4,0,,,,,
6,6,2017_NW_HIGH_MONO_P1_CV,Field17,2017,NW,HIGH,MONO,P,1,CV,1,0,,,,,
7,7,2017_NW_HIGH_MONO_P8_CV,Field17,2017,NW,HIGH,MONO,P,8,CV,0,0,,,,,
8,8,2017_NW_HIGH_MONO_P9_CV,Field17,2017,NW,HIGH,MONO,P,9,CV,3,1,,,,,
9,9,2017_NW_HIGH_MONO_P12_CV,Field17,2017,NW,HIGH,MONO,P,12,CV,2,0,,,,,
10,10,2017_NW_HIGH_MONO_P14_CV,Field17,2017,NW,HIGH,MONO,P,14,CV,2,1,,,,,
11,11,2017_NW_HIGH_MONO_P16_CV,Field17,2017,NW,HIGH,MONO,P,16,CV,2,0,,,,,
12,12,2017_NW_HIGH_MONO_R4_CV,Field17,2017,NW,HIGH,MONO,R,4,CV,0.5,0,,,,,
13,13,2017_NW_HIGH_MONO_R6_CV,Field17,2017,NW,HIGH,MONO,R,6,CV,0,0,,,,,
14,14,2017_NW_HIGH_MONO_R18_CV,Field17,2017,NW,HIGH,MONO,R,18,CV,1,1,,,,,
15,15,2017_NW_HIGH_MONO_Y9_CV,Field17,2017,NW,HIGH,MONO,Y,9,CV,3,0,,,,,
16,16,2017_NW_HIGH_POLY_B1_CV,Field17,2017,NW,HIGH,POLY,B,1,CV,0,0,,,,,
17,17,2017_NW_HIGH_POLY_B11_CV,Field17,2017,NW,HIGH,POLY,B,11,CV,0,0,,,,,
18,18,2017_NW_HIGH_POLY_B14_CV,Field17,2017,NW,HIGH,POLY,B,14,CV,0,0,,,,,
19,19,2017_NW_HIGH_POLY_P7_CV,Field17,2017,NW,HIGH,POLY,P,7,CV,1,0,,,,,
20,20,2017_NW_HIGH_POLY_R1_CV,Field17,2017,NW,HIGH,POLY,R,1,CV,1,0,,,,,
21,21,2017_NW_LOW_MONO_B3_CV,Field17,2017,NW,LOW,MONO,B,3,CV,0,0,,,,,
22,22,2017_NW_LOW_MONO_B17_CV,Field17,2017,NW,LOW,MONO,B,17,CV,0,0,,,,,
23,23,2017_NW_LOW_MONO_P5_CV,Field17,2017,NW,LOW,MONO,P,5,CV,4,0,,,,,
24,24,2017_NW_LOW_MONO_P7_CV,Field17,2017,NW,LOW,MONO,P,7,CV,0.5,0,,,,,
25,25,2017_NW_LOW_MONO_P11_CV,Field17,2017,NW,LOW,MONO,P,11,CV,0.5,0,,,,,
26,26,2017_NW_LOW_MONO_P17_CV,Field17,2017,NW,LOW,MONO,P,17,CV,2,0,,,,,
27,27,2017_NW_LOW_MONO_R1_CV,Field17,2017,NW,LOW,MONO,R,1,CV,1,0,,,,,
28,28,2017_NW_LOW_MONO_R4_CV,Field17,2017,NW,LOW,MONO,R,4,CV,1,0,,,,,
29,29,2017_NW_LOW_MONO_R11_CV,Field17,2017,NW,LOW,MONO,R,11,CV,3,0,,,,,
30,30,2017_NW_LOW_MONO_R14_CV,Field17,2017,NW,LOW,MONO,R,14,CV,2,0,,,,,
31,31,2017_NW_LOW_MONO_R16_CV,Field17,2017,NW,LOW,MONO,R,16,CV,4,0,,,,,
32,32,2017_NW_LOW_MONO_Y6_CV,Field17,2017,NW,LOW,MONO,Y,6,CV,2,0,,,,,
33,33,2017_NW_LOW_MONO_Y10_CV,Field17,2017,NW,LOW,MONO,Y,10,CV,0,0,,,,,
34,34,2017_NW_LOW_MONO_Y18_CV,Field17,2017,NW,LOW,MONO,Y,18,CV,3,0,,,,,
35,35,2017_NW_LOW_POLY_B6_CV,Field17,2017,NW,LOW,POLY,B,6,CV,2,0,,,,,
36,36,2017_NW_LOW_POLY_B17_CV,Field17,2017,NW,LOW,POLY,B,17,CV,3,0,,,,,
37,37,2017_NW_LOW_POLY_P5_CV,Field17,2017,NW,LOW,POLY,P,5,CV,4,0,,,,,
38,38,2017_NW_LOW_POLY_P18_CV,Field17,2017,NW,LOW,POLY,P,18,CV,3,0,,,,,
39,39,2017_OY_HIGH_MONO_R1_CV,Field17,2017,OY,HIGH,MONO,R,1,CV,5,0,,,,,
40,40,2017_OY_HIGH_MONO_R11_CV,Field17,2017,OY,HIGH,MONO,R,11,CV,1,0,,,,,
41,41,2017_OY_HIGH_MONO_R12_CV,Field17,2017,OY,HIGH,MONO,R,12,CV,2,1,,,,,
42,42,2017_OY_HIGH_MONO_Y3_CV,Field17,2017,OY,HIGH,MONO,Y,3,CV,0,0,,,,,
43,43,2017_OY_HIGH_MONO_Y4_CV,Field17,2017,OY,HIGH,MONO,Y,4,CV,1,0,,,,,
